id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
937865563943866317,Ocean Air Retreat,451596144,Colin,,Waratah/Wynyard,-40.915875642504446,145.55769736441806,Entire home/apt,240,2,20,2024-02-24,3.16,1,160,20,DA161/2023
23360980,Panoramic Views on Walter,130839986,James,,Dorset,-40.9969,147.38582,Entire home/apt,250,1,24,2024-02-24,0.46,18,261,3,
942160465673206293,Beach Daze,43566155,Anne-Marie,,Dorset,-41.0081092,147.3977812,Entire home/apt,171,1,14,2024-02-15,2.88,2,315,14,2020/26 27896 2207312
48306466,Rosebud Spa Cottage,181005287,Geoff,,Circular Head,-40.84594,145.19027,Entire home/apt,170,1,4,2024-01-06,0.15,4,352,1,Exempt: This listing falls under Section 12 of the Land Use Planning and Approvals Act 1993
16676694,Windflowers Cottage B&B,110351820,Bruce,,Huon Valley,-43.14861,147.01402,Entire home/apt,265,2,65,2024-02-16,0.75,1,310,7,Exempt: This listing falls under Section 12 of the Land Use Planning and Approvals Act 1993
26823199,FIVE BEACHES BEACH HOUSE Binalong Bay King Beds,164588610,Jan,,Break O'Day,-41.25237,148.30878,Entire home/apt,263,2,142,2024-03-03,2.24,27,325,11,Exempt: This listing falls under Section 12 of the Land Use Planning and Approvals Act 1993
633152778739283192,TeaTree Retreat | Mountain view cottage in Tullah,38021881,Sarah,,West Coast,-41.73904,145.61744,Entire home/apt,181,2,17,2023-08-18,1.23,4,359,11,Exempt: This listing falls under the 'home sharing' exemption
939286998323417956,Delilah's Derby,147344168,Pinned Property Management,,Dorset,-41.1409176,147.7960475,Entire home/apt,230,2,17,2024-03-09,3.15,24,0,17,PLA/2020/8
49278272,Spa Cabin nestled amongst trees,75809985,Carolyn,,Circular Head,-40.85937,145.39877,Entire home/apt,120,1,75,2024-03-02,2.17,4,337,6,"Exempt: This listing is a hotel, motel, or caravan park"
24289877,Rosie's Cottage,181005287,Geoff,,Circular Head,-40.84389,145.12614,Entire home/apt,170,2,18,2024-02-16,0.29,4,342,4,Exempt: This listing falls under Section 12 of the Land Use Planning and Approvals Act 1993
47038111,Bright Water Lodge Farmstay,172279716,Indigo,,Break O'Day,-41.45244,147.77997,Entire home/apt,200,2,114,2024-03-07,3.19,1,345,25,0912012
640543257810686435,Cottage on Macquarie,137614393,Stuart,,Hobart,-42.88955987788363,147.32167594134808,Entire home/apt,250,4,22,2024-03-05,1.42,1,153,16,AIS221184
18736420,Moonah Pad,2247316,Leisha,,Glenorchy,-42.84523,147.28632,Entire home/apt,176,2,78,2024-03-02,0.95,1,324,42,PLN-22-153
17195562,Room 9,9775636,Colin,,Clarence,-42.727,147.44386,Private room,199,1,0,,,14,0,0,"Exempt: This listing is a hotel, motel, or caravan park"
24083374,Battery Point Boutique Accommodation Apt1,179635946,Rob,,Hobart,-42.88999,147.33517,Entire home/apt,307,1,18,2023-11-05,0.32,4,279,3,"Exempt: This listing is a hotel, motel, or caravan park"
18448753,Million Dollar Views Day and Night,111943927,Julie,,Hobart,-42.91556,147.33788,Entire home/apt,123,1,466,2024-02-28,5.67,8,286,60,PLN-18-145
897284036945598615,Sequoia,6918728,Nick,,West Tamar,-41.24986911397708,146.9374988329547,Entire home/apt,240,1,0,,,1,365,0,
24083441,Battery Point Boutique Accommodation Upstairs Apt3,179635946,Rob,,Hobart,-42.89008,147.33491,Entire home/apt,355,1,11,2023-11-26,0.16,4,286,4,PLN-960377
47895043,New Town Gem - Entire Apartment Quiet & Convenient,336216589,Sharon,,Hobart,-42.85443,147.30781,Entire home/apt,149,2,147,2024-03-08,4.33,1,0,51,Exempt: This listing falls under the 'home sharing' exemption
25955046,Standard Queen Room,2834904,Clint,,Circular Head,-40.76311,145.28038,Hotel room,181,1,24,2023-12-28,0.44,9,324,8,
18432942,The Boat Crew West Cottage -with beautiful bathtub,5194225,Low Head Pilot Station,,George Town,-41.06496,146.79653,Entire home/apt,268,1,59,2024-02-02,0.76,9,311,4,"Exempt: This listing is a hotel, motel, or caravan park"
635095057316202904,Bellevue on Bentley - Unit 2,130839986,James,,Dorset,-40.99572,147.38839,Entire home/apt,218,1,3,2023-04-09,0.16,18,354,1,2022/2
710520056166366898,Rustic Fishing Shacks,27146791,Greg,,Central Highlands,-42.37678,146.99967,Private room,145,1,3,2023-12-21,0.20,9,311,2,"Exempt: This listing is a hotel, motel, or caravan park"
23365844,Gibson's Mill 3br Penthouse - Morrison Street,98449822,Sullivans Cove Apartments,,Hobart,-42.88295,147.33049,Entire home/apt,453,1,21,2023-11-13,0.37,14,267,9,
720624774905588341,Cosy 3 bedroom cottage with indoor fire,480396024,Alipeti,,Glamorgan/Spring Bay,-42.142,148.05277,Entire home/apt,200,2,27,2024-02-12,1.59,1,175,16,DA 2022/234
20886872,Hillcrest Haven. River Views 10min from Hobart,129815189,Jason,,Hobart,-42.90728,147.30513,Private room,550,3,19,2024-01-01,0.25,2,358,2,Exempt: This listing falls under the 'home sharing' exemption
736365689029800123,Moody Luxury Home in the Wine Region,480249882,Claire,,Clarence,-42.73988,147.42271,Entire home/apt,359,2,81,2024-03-05,4.95,1,0,62,PDPLANPMTD-2022/030471
1040828113296329076,Bicheno Spa Villa,25626715,Freycinet Holiday Houses,,Glamorgan/Spring Bay,-41.87336833119823,148.29856485094683,Entire home/apt,265,2,3,2024-03-02,1.84,110,317,3,DA 000
53756340,Quaint two bedroom cottage on York Cove. Enjoy.,254242527,Ian,,George Town,-41.10712,146.82527,Entire home/apt,175,2,73,2024-01-27,2.71,2,90,16,BA2019/2
32346795,Sunset Bay Escape,71907942,Jennifer,,Kingborough,-43.32274,147.24234,Entire home/apt,274,2,137,2024-02-28,2.29,1,331,29,Exempt: This listing falls under Section 12 of the Land Use Planning and Approvals Act 1993
23630930,Gould's Convict Built Cottage,44293804,Anne & Alan,,Hobart,-42.89614,147.30163,Entire home/apt,218,2,62,2024-02-24,0.85,3,25,8,Exempt: This listing falls under Section 12 of the Land Use Planning and Approvals Act 1993
39095518,two14,110582664,John And Lyndall,,Devonport,-41.18418,146.35746,Entire home/apt,191,2,16,2020-03-13,0.30,3,2,0,PA2019.0156
41291243,Kingston Beach Pad - Water Views,33006388,Cassandra,,Kingborough,-42.98206,147.31781,Entire home/apt,135,3,26,2021-08-07,0.51,2,0,0,Exempt: This listing falls under the 'home sharing' exemption
887100567530071351,Wadecliff Rise,50169904,Kelsey,,Central Coast,-41.17026,146.16221,Entire home/apt,236,3,9,2024-02-19,1.07,1,58,9,Not required as this falls within home-sharing.
